,State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Total_Crime,Violent_Crime_rate,Property_Crime_rate,Crime_rate,Crime_Group,Crime_Rank
0,Alabama,Hoover,85670,114.0,4.0,15.0,27.0,68.0,1922.0,128.0,1694.0,100.0,2.0,2038.0,0.13%,2.24%,2.38%,1,Low
1,Alaska,Anchorage,287731,3581.0,32.0,540.0,621.0,2388.0,12261.0,1692.0,9038.0,1531.0,93.0,15935.0,1.24%,4.26%,5.54%,3,Medium
2,Alaska,Bethel,6544,130.0,1.0,47.0,3.0,79.0,132.0,20.0,84.0,28.0,12.0,274.0,1.99%,2.02%,4.19%,3,Medium
3,Alaska,Bristol Bay Borough,852,2.0,0.0,0.0,0.0,2.0,20.0,5.0,8.0,7.0,0.0,22.0,0.23%,2.35%,2.58%,1,Low
4,Alaska,Cordova,2150,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,7.0,0.00%,0.33%,0.33%,5,Fairly Low
5,Alaska,Craig,1313,7.0,0.0,0.0,0.0,7.0,20.0,5.0,12.0,3.0,0.0,27.0,0.53%,1.52%,2.06%,1,Low
6,Alaska,Dillingham,2405,49.0,1.0,3.0,1.0,44.0,58.0,11.0,37.0,10.0,0.0,107.0,2.04%,2.41%,4.45%,3,Medium
7,Alaska,Fairbanks,31493,247.0,3.0,33.0,52.0,159.0,1353.0,163.0,1006.0,184.0,23.0,1623.0,0.78%,4.30%,5.15%,3,Medium
8,Alaska,Haines,2441,9.0,0.0,0.0,0.0,9.0,13.0,1.0,10.0,2.0,0.0,22.0,0.37%,0.53%,0.90%,5,Fairly Low
9,Alaska,Homer,5913,12.0,0.0,0.0,0.0,12.0,146.0,11.0,118.0,17.0,0.0,158.0,0.20%,2.47%,2.67%,1,Low
10,Alaska,Juneau,31810,289.0,3.0,24.0,45.0,217.0,1292.0,187.0,1012.0,93.0,16.0,1597.0,0.91%,4.06%,5.02%,3,Medium
11,Alaska,Kenai,7862,75.0,2.0,28.0,3.0,42.0,446.0,46.0,353.0,47.0,2.0,523.0,0.95%,5.67%,6.65%,2,Fairly High
12,Alaska,Ketchikan,8316,40.0,0.0,9.0,1.0,30.0,421.0,32.0,368.0,21.0,2.0,463.0,0.48%,5.06%,5.57%,2,Fairly High
13,Alaska,Kodiak,5947,49.0,0.0,14.0,4.0,31.0,190.0,37.0,122.0,31.0,3.0,242.0,0.82%,3.19%,4.07%,3,Medium
14,Alaska,Kotzebue,3272,77.0,0.0,22.0,7.0,48.0,83.0,19.0,47.0,17.0,2.0,162.0,2.35%,2.54%,4.95%,3,Medium
15,Alaska,Nome,3899,107.0,0.0,59.0,1.0,47.0,53.0,14.0,32.0,7.0,0.0,160.0,2.74%,1.36%,4.10%,3,Medium
16,Alaska,North Pole,2111,16.0,0.0,3.0,0.0,13.0,79.0,12.0,63.0,4.0,1.0,96.0,0.76%,3.74%,4.55%,3,Medium
17,Alaska,North Slope Borough,9801,123.0,2.0,6.0,0.0,115.0,72.0,18.0,46.0,8.0,3.0,198.0,1.25%,0.73%,2.02%,1,Low
18,Alaska,Palmer,7490,21.0,1.0,1.0,3.0,16.0,204.0,19.0,158.0,27.0,0.0,225.0,0.28%,2.72%,3.00%,3,Medium
