DataId,US_Population_Rank,City,State,Twenty_Nineteen_Population,Ten_Year_Population_Growth_Percentage
0,1,New York,New York,8336817,4
1,2,Los Angeles,California,3979576,7.4
2,3,Chicago,Illinois,2693976,-6.9
3,4,Houston,Texas,2320268,17.3
4,5,Phoenix,Arizona,1680992,26.6
5,6,Philadelphia,Pennsylvania,1584064,4.6
6,7,San Antonio,Texas,1547253,32.9
7,8,San Diego,California,1423851,16
8,9,Dallas,Texas,1343573,12.8
9,10,San Jose,California,1021795,13
10,11,Austin,Texas,978908,45.6
11,12,Jacksonville,Florida,911507,23.7
12,13,Fort Worth,Texas,909585,66.5
13,14,Columbus,Ohio,898553,25.5
14,15,Charlotte,North Carolina,885708,55.4
15,16,San Francisco,California,881549,13.4
16,17,Indianapolis,Indiana,876384,12
17,18,Seattle,Washington,753675,33.6
18,19,Denver,Colorado,727211,30.7
19,20,Washington,District of Columbia,705749,23.4
20,21,Boston,Massachusetts,692600,17.3
21,22,El Paso,Texas,681728,20.7
22,23,Nashville-Davidson,Tennessee,670820,22.8
23,24,Detroit,Michigan,670031,-29.1
24,25,Oklahoma City,Oklahoma,655057,29
25,26,Portland,Oregon,654741,23.5
26,27,Las Vegas,Nevada,651319,34.4
27,28,Memphis,Tennessee,651073,-5.6
28,29,Louisville/Jefferson County,Kentucky,617638,11.4
29,30,Baltimore,Maryland,593490,-8.5
30,31,Milwaukee,Wisconsin,590157,-1.1
31,32,Albuquerque,New Mexico,560513,24.4
32,33,Tucson,Arizona,548073,11.9
33,34,Fresno,California,531576,23.4
34,35,Mesa,Arizona,518012,28.5
35,36,Sacramento,California,513624,25.5
36,37,Atlanta,Georgia,506811,20.2
37,38,Kansas City,Missouri,495327,11.9
38,39,Colorado Springs,Colorado,478221,32
39,40,Omaha,Nebraska,478192,16.6
40,41,Raleigh,North Carolina,474069,63.3
41,42,Miami,Florida,467963,28.8
42,43,Long Beach,California,462628,0
43,44,Virginia Beach,Virginia,449974,5.4
44,45,Oakland,California,433031,8
45,46,Minneapolis,Minnesota,429606,12.3
46,47,Tulsa,Oklahoma,401190,2.1
47,48,Tampa,Florida,399700,31.4
48,49,Arlington,Texas,398854,19.1
49,50,New Orleans,Louisiana,390144,-19.3
50,51,Wichita,Kansas,389938,10.6
51,52,Bakersfield,California,384145,56.8
52,53,Cleveland,Ohio,381009,-20
53,54,Aurora,Colorado,379289,36.5
54,55,Anaheim,California,350365,6.4
55,56,Honolulu,Hawaii,345064,-6.9
56,57,Santa Ana,California,332318,-1.8
57,58,Riverside,California,331360,28.2
58,59,Corpus Christi,Texas,326586,17.7
59,60,Lexington-Fayette,Kentucky,323152,23.7
60,61,Henderson,Nevada,320189,78.6
61,62,Stockton,California,312697,27.8
62,63,St. Paul,Minnesota,308096,7.4
63,64,Cincinnati,Ohio,303940,-8.2
64,65,St. Louis,Missouri,300576,-13.3
65,66,Pittsburgh,Pennsylvania,300286,-10
66,67,Greensboro,North Carolina,296710,29.8
67,68,Lincoln,Nebraska,289102,26.9
68,69,Anchorage,Alaska,288000,10.5
69,70,Plano,Texas,287677,28.3
70,71,Orlando,Florida,287442,47.6
71,72,Irvine,California,287401,95.9
72,73,Newark,New Jersey,282011,3.4
73,74,Durham,North Carolina,278993,47.7
74,75,Chula Vista,California,274492,56.3
75,76,Toledo,Ohio,272779,-13
76,77,Fort Wayne,Indiana,270402,6.4
77,78,St. Petersburg,Florida,265351,6.6
78,79,Laredo,Texas,262491,46.2
79,80,Jersey City,New Jersey,262075,9.1
80,81,Chandler,Arizona,261165,45.4
81,82,Madison,Wisconsin,259680,23.6
82,83,Lubbock,Texas,258862,29.2
83,84,Scottsdale,Arizona,258069,26.3
84,85,Reno,Nevada,255601,38.9
85,86,Buffalo,New York,255284,-12.6
86,87,Gilbert,Arizona,254114,116.6
87,88,Glendale,Arizona,252381,13.7
88,89,North Las Vegas,Nevada,251974,113.5
89,90,Winston-Salem,North Carolina,247945,22.6
90,91,Chesapeake,Virginia,244835,22.2
91,92,Norfolk,Virginia,242742,3.6
92,93,Fremont,California,241110,18
93,94,Garland,Texas,239928,11
94,95,Irving,Texas,239798,24.9
95,96,Hialeah,Florida,233339,3.1
96,97,Richmond,Virginia,230436,16.5
97,98,Boise City,Idaho,228959,17
98,99,Spokane,Washington,222081,12.7
99,100,Baton Rouge,Louisiana,220236,-3.5
100,101,Tacoma,Washington,217827,12.3
101,102,San Bernardino,California,215784,14.1
102,103,Modesto,California,215196,13.1
103,104,Fontana,California,214547,46.2
104,105,Des Moines,Iowa,214237,7.3
105,106,Moreno Valley,California,213055,48.7
106,107,Santa Clarita,California,212979,36.8
107,108,Fayetteville,North Carolina,211657,6.1
108,109,Birmingham,Alabama,209403,-13.4
109,110,Oxnard,California,208881,21.7
110,111,Rochester,New York,205695,-6.2
111,112,Port St. Lucie,Florida,201846,126.3
112,113,Grand Rapids,Michigan,201013,1.5
113,114,Huntsville,Alabama,200574,25.2
114,115,Salt Lake City,Utah,200567,10.3
115,116,Frisco,Texas,200490,468.2
116,117,Yonkers,New York,200370,2.1
117,118,Amarillo,Texas,199371,14.5
118,119,Glendale,California,199303,2
119,120,Huntington Beach,California,199223,4.8
120,121,McKinney,Texas,199177,255.7
121,122,Montgomery,Alabama,198525,-1.5
122,123,Augusta-Richmond County,Georgia,197888,1.4
123,124,Aurora,Illinois,197757,36.8
124,125,Akron,Ohio,197597,-8.8
125,126,Little Rock,Arkansas,197312,7.6
126,127,Tempe,Arizona,195805,23.2
127,128,Columbus,Georgia,195769,4.9
128,129,Overland Park,Kansas,195494,28.8
129,130,Grand Prairie,Texas,194543,51.8
130,131,Tallahassee,Florida,194500,27.1
131,132,Cape Coral,Florida,194495,88.2
132,133,Mobile,Alabama,188720,-5
133,134,Knoxville,Tennessee,187603,6.4
134,135,Shreveport,Louisiana,187112,-6.7
135,136,Worcester,Massachusetts,185428,7.4
136,137,Ontario,California,185010,16.6
137,138,Vancouver,Washington,184463,25.8
138,139,Sioux Falls,South Dakota,183793,46.3
139,140,Chattanooga,Tennessee,182799,16.6
140,141,Brownsville,Texas,182781,27.4
141,142,Fort Lauderdale,Florida,182437,6.6
142,143,Providence,Rhode Island,179883,3.4
143,144,Newport News,Virginia,179225,-0.5
144,145,Rancho Cucamonga,California,177603,37.5
145,146,Santa Rosa,California,176753,18.4
146,147,Peoria,Arizona,175961,58.5
147,148,Oceanside,California,175742,8.5
148,149,Elk Grove,California,174775,113.9
149,150,Salem,Oregon,174365,26.4
150,151,Pembroke Pines,Florida,173591,25.5
151,152,Eugene,Oregon,172622,24.1
152,153,Garden Grove,California,171644,3.7
153,154,Cary,North Carolina,170282,74.8
154,155,Fort Collins,Colorado,170243,41.7
155,156,Corona,California,169868,31.6
156,157,Springfield,Missouri,167882,10.2
157,158,Jackson,Mississippi,160628,-13.2
158,159,Alexandria,Virginia,159428,23.1
159,160,Hayward,California,159203,12.9
160,161,Clarksville,Tennessee,158146,52.1
161,162,Lakewood,Colorado,157935,9.3
162,163,Lancaster,California,157601,32.2
163,164,Salinas,California,155465,8.3
164,165,Palmdale,California,155079,31.9
165,166,Hollywood,Florida,154817,10.8
166,167,Springfield,Massachusetts,153606,1.1
167,168,Macon-Bibb County,Georgia,153159,0
168,169,Kansas City,Kansas,152960,4.2
169,170,Sunnyvale,California,152703,15.8
170,171,Pomona,California,151691,2.4
171,172,Killeen,Texas,151666,68.2
172,173,Escondido,California,151625,12.8
173,174,Pasadena,Texas,151227,6.5
174,175,Naperville,Illinois,148449,14.7
175,176,Bellevue,Washington,148164,31.7
176,177,Joliet,Illinois,147344,36.1
177,178,Murfreesboro,Tennessee,146900,107.3
178,179,Midland,Texas,146038,53.7
179,180,Rockford,Illinois,145609,-4
180,181,Paterson,New Jersey,145233,-2.7
181,182,Savannah,Georgia,144464,8.8
182,183,Bridgeport,Connecticut,144399,3.4
183,184,Torrance,California,143592,3.8
184,185,McAllen,Texas,143268,33.8
185,186,Syracuse,New York,142327,-2.5
186,187,Surprise,Arizona,141664,337.9
187,188,Denton,Texas,141541,69.2
188,189,Roseville,California,141500,74
189,190,Thornton,Colorado,141464,69.8
190,191,Miramar,Florida,141191,89.3
191,192,Pasadena,California,141029,4.8
192,193,Mesquite,Texas,140937,12.7
193,194,Olathe,Kansas,140545,49.7
194,195,Dayton,Ohio,140407,-15.3
195,196,Carrollton,Texas,139248,26.3
196,197,Waco,Texas,139236,21.4
197,198,Orange,California,138669,6.7
198,199,Fullerton,California,138632,9.5
199,200,Charleston,South Carolina,137566,38.9
200,201,West Valley City,Utah,135248,23.8
201,202,Visalia,California,134605,40.7
202,203,Hampton,Virginia,134510,-8.1
203,204,Gainesville,Florida,133997,18.5
204,205,Warren,Michigan,133943,-3
205,206,Coral Springs,Florida,133759,11.7
206,207,Cedar Rapids,Iowa,133562,9.6
207,208,Round Rock,Texas,133372,119.8
208,209,Sterling Heights,Michigan,132438,6.2
209,210,Kent,Washington,132319,64.1
210,211,Columbia,South Carolina,131674,10.3
211,212,Santa Clara,California,130365,27.3
212,213,New Haven,Connecticut,130250,5.2
213,214,Stamford,Connecticut,129638,10.3
214,215,Concord,California,129295,5.7
215,216,Elizabeth,New Jersey,129216,6.9
216,217,Athens-Clarke County,Georgia,126913,25.9
217,218,Thousand Oaks,California,126813,7.9
218,219,Lafayette,Louisiana,126185,12.7
219,220,Simi Valley,California,125613,12.1
220,221,Topeka,Kansas,125310,1.5
221,222,Norman,Oklahoma,124880,28.9
222,223,Fargo,North Dakota,124662,37
223,224,Wilmington,North Carolina,123744,37.8
224,225,Abilene,Texas,123420,6.5
225,226,Odessa,Texas,123334,36.2
226,227,Columbia,Missouri,123195,43.2
227,228,Pearland,Texas,122460,165.8
228,229,Victorville,California,122385,89.6
229,230,Hartford,Connecticut,122105,-1.6
230,231,Vallejo,California,121692,3.6
231,232,Allentown,Pennsylvania,121442,13.9
232,233,Berkeley,California,121363,17.7
233,234,Richardson,Texas,121323,31.4
234,235,Arvada,Colorado,121272,18.5
235,236,Ann Arbor,Michigan,119980,4.6
236,237,Rochester,Minnesota,118935,33
237,238,Cambridge,Massachusetts,118927,16.9
238,239,Sugar Land,Texas,118488,82.5
239,240,Lansing,Michigan,118210,-0.9
240,241,Evansville,Indiana,117979,-2.7
241,242,College Station,Texas,117911,71.1
242,243,Fairfield,California,117133,20.9
243,244,Clearwater,Florida,116946,6.7
