,city,date,price,state
0,Akron,2020-12-01,913.1459678,Ohio
1,Albany,2020-12-01,1325.452948,New York
2,Albuquerque,2020-12-01,1208.463059,New Mexico
3,Allentown,2020-12-01,1330.582095,Pennsylvania
4,Anaheim,2020-12-01,2581.114949,California
5,Atlanta,2020-12-01,1576.227326,Georgia
6,Augusta,2020-12-01,1146.762177,Georgia
7,Austin,2020-12-01,1538.4522,Texas
8,Bakersfield,2020-12-01,1367.730549,California
9,Baltimore,2020-12-01,1635.335905,Maryland
10,Baton Rouge,2020-12-01,1168.435751,Louisiana
11,Birmingham,2020-12-01,1098.125956,Alabama
12,Boise City,2020-12-01,1349.269129,Idaho
13,Boston,2020-12-01,2351.79704,Massachusetts
14,Boulder,2020-12-01,2052.141586,Colorado
15,Bradenton,2020-12-01,2135.030288,Florida
16,Buffalo,2020-12-01,1134.68408,New York
17,Charleston,2020-12-01,1542.477215,South Carolina
18,Charlotte,2020-12-01,1504.87032,North Carolina
19,Chattanooga,2020-12-01,1267.152309,Tennessee
20,Chicago,2020-12-01,1684.348744,Illinois
21,Cincinnati,2020-12-01,1304.63994,Ohio
22,Cleveland,2020-12-01,1133.899068,Ohio
23,Colorado Springs,2020-12-01,1548.034062,Colorado
24,Columbia,2020-12-01,1168.712799,South Carolina
25,Columbus,2020-12-01,1329.366208,Ohio
26,Dallas,2020-12-01,1554.355705,Texas
27,Dayton,2020-12-01,1037.349079,Ohio
28,Daytona Beach,2020-12-01,1455.80089,Florida
29,Denver,2020-12-01,1736.771209,Colorado
30,Des Moines,2020-12-01,1135.612745,Iowa
31,Detroit,2020-12-01,1293.198751,Michigan
32,Durham,2020-12-01,1411.128292,North Carolina
33,El Paso,2020-12-01,1181.284184,Texas
34,Fort Collins,2020-12-01,1550.964181,Colorado
35,Fort Lauderdale,2020-12-01,1930.645065,Florida
36,Fort Myers,2020-12-01,1900.077114,Florida
37,Fort Worth,2020-12-01,1554.355705,Texas
38,Fresno,2020-12-01,1561.704302,California
39,Gainesville,2020-12-01,1382.289291,Georgia
40,Grand Rapids,2020-12-01,1254.405332,Michigan
41,Greeley,2020-12-01,1571.282145,Colorado
42,Greensboro,2020-12-01,1222.148978,North Carolina
43,Greenville,2020-12-01,1296.049415,South Carolina
44,Harrisburg,2020-12-01,1132.20718,Pennsylvania
45,Hartford,2020-12-01,1377.760051,Connecticut
46,Honolulu,2020-12-01,2107.913296,Hawaii
47,Houston,2020-12-01,1479.705333,Texas
48,Indianapolis,2020-12-01,1257.522784,Indiana
49,Jackson,2020-12-01,1260.823258,Mississippi
50,Jacksonville,2020-12-01,1374.960319,Florida
51,Jefferson County,2020-12-01,990.4852666,Kentucky
52,Kansas City,2020-12-01,1196.676191,Missouri
53,Knoxville,2020-12-01,1342.574008,Tennessee
54,Lakeland,2020-12-01,1451.411559,Florida
55,Las Vegas,2020-12-01,1441.43842,Nevada
56,Little Rock,2020-12-01,915.6212324,Arkansas
57,Long Beach,2020-12-01,2581.114949,California
58,Los Angeles,2020-12-01,2581.114949,California
59,Louisville,2020-12-01,990.4852666,Kentucky
60,Madison,2020-12-01,1342.191802,Wisconsin
61,Melbourne,2020-12-01,1544.909371,Florida
62,Memphis,2020-12-01,1301.335758,Tennessee
63,Miami,2020-12-01,1930.645065,Florida
64,Milwaukee,2020-12-01,1214.685353,Wisconsin
65,Minneapolis,2020-12-01,1538.819647,Minnesota
66,Nashville,2020-12-01,1603.608326,Tennessee
67,New Haven,2020-12-01,1449.915614,Connecticut
68,New Orleans,2020-12-01,1412.269733,Louisiana
69,New York,2020-12-01,2658.138052,New York
70,North Port,2020-12-01,2135.030288,Florida
71,Ogden,2020-12-01,1365.486557,Utah
72,Oklahoma City,2020-12-01,1082.057358,Oklahoma
73,Omaha,2020-12-01,1231.795995,Nebraska
74,Orlando,2020-12-01,1590.243284,Florida
75,Philadelphia,2020-12-01,1608.712616,Pennsylvania
76,Phoenix,2020-12-01,1523.79709,Arizona
77,Pittsburgh,2020-12-01,1187.913828,Pennsylvania
78,Port St. Lucie,2020-12-01,1730.747593,Florida
79,Portland,2020-12-01,1656.945298,Oregon
80,Providence,2020-12-01,1558.158912,Rhode Island
81,Provo,2020-12-01,1352.6638,Utah
82,Raleigh,2020-12-01,1501.797833,North Carolina
83,Richmond,2020-12-01,1315.502613,Virginia
84,Riverside,2020-12-01,2142.464804,California
85,Rochester,2020-12-01,1148.8385,New York
86,Sacramento,2020-12-01,1905.596283,California
87,Salem,2020-12-01,1251.782424,North Carolina
88,Salt Lake City,2020-12-01,1394.012136,Utah
89,San Antonio,2020-12-01,1327.564336,Texas
90,San Diego,2020-12-01,2315.359376,California
91,San Francisco,2020-12-01,3107.656824,California
92,San Jose,2020-12-01,3034.859739,California
93,Sarasota,2020-12-01,2135.030288,Florida
94,Scranton,2020-12-01,923.1471182,Pennsylvania
95,Seattle,2020-12-01,1963.240043,Washington
96,Spokane,2020-12-01,1319.803881,Washington
97,Springfield,2020-12-01,1332.158162,Massachusetts
98,St. Louis,2020-12-01,1146.577564,Missouri
99,St. Paul,2020-12-01,1538.819647,Minnesota
100,Stamford,2020-12-01,2147.451124,Connecticut
101,Stockton,2020-12-01,2086.30623,California
102,Syracuse,2020-12-01,1187.293576,New York
103,Tampa,2020-12-01,1549.673793,Florida
104,Toledo,2020-12-01,882.2840685,Ohio
105,Tucson,2020-12-01,1226.9751,Arizona
106,Tulsa,2020-12-01,1177.939184,Oklahoma
107,United States,2020-12-01,1739.61517,United States
108,Ventura,2020-12-01,2694.546997,California
