,state,date,price
0,Alabama,2020-12-01,1102.7209833401275
1,Arizona,2020-12-01,1403.9611532758668
2,Arkansas,2020-12-01,920.633611388367
3,California,2020-12-01,2345.948433704127
4,Colorado,2020-12-01,1709.0513016762466
5,Connecticut,2020-12-01,1689.254745909985
6,District of Columbia,2020-12-01,2060.510827798731
7,Florida,2020-12-01,1778.9910026029208
8,Georgia,2020-12-01,1386.486396577903
9,Hawaii,2020-12-01,2115.9329306354584
10,Idaho,2020-12-01,1385.9528224491132
11,Illinois,2020-12-01,1678.1768824589922
12,Indiana,2020-12-01,1257.6994040933396
13,Iowa,2020-12-01,1166.1256783541091
14,Kansas,2020-12-01,828.7005139461187
15,Kentucky,2020-12-01,988.3852013433618
16,Louisiana,2020-12-01,1294.7827620212022
17,Maryland,2020-12-01,1667.6411932714016
18,Massachusetts,2020-12-01,1707.2947430731417
19,Michigan,2020-12-01,1288.257662181608
20,Minnesota,2020-12-01,1553.2177836943702
21,Mississippi,2020-12-01,1253.1097983271463
22,Missouri,2020-12-01,1178.3955810971
23,Nebraska,2020-12-01,1217.7927142499768
24,Nevada,2020-12-01,1471.2358809140178
25,New Mexico,2020-12-01,1234.8267846371764
26,New York,2020-12-01,1482.5362778238707
27,North Carolina,2020-12-01,1376.8314129262965
28,Ohio,2020-12-01,1041.9377737807047
29,Oklahoma,2020-12-01,1129.8946163722815
30,Oregon,2020-12-01,1670.71456749357
31,Pennsylvania,2020-12-01,1261.0231860324593
32,Rhode Island,2020-12-01,1583.9278250679147
33,South Carolina,2020-12-01,1353.8907424545584
34,Tennessee,2020-12-01,1381.875721497659
35,Texas,2020-12-01,1451.4374170257493
36,United States,2020-12-01,1743.8410553094216
37,Utah,2020-12-01,1382.81818905058
38,Virginia,2020-12-01,1356.7066834773514
39,Washington,2020-12-01,1627.2136001707916
40,Wisconsin,2020-12-01,1277.6047016479145
41,Alabama,2021-01-01,1096.5049905086812
42,Arizona,2021-01-01,1362.5363282960075
43,Arkansas,2021-01-01,908.6794747855802
44,California,2021-01-01,2317.294930422363
45,Colorado,2021-01-01,1677.580736911944
46,Connecticut,2021-01-01,1649.1474207767692
47,District of Columbia,2021-01-01,2061.7358684006217
48,Florida,2021-01-01,1756.702668486138
49,Georgia,2021-01-01,1356.4926555336508
50,Hawaii,2021-01-01,2090.814554520923
51,Idaho,2021-01-01,1340.9209127506501
52,Illinois,2021-01-01,1690.0401923407103
53,Indiana,2021-01-01,1256.1210235903259
54,Iowa,2021-01-01,1119.4216522331087
55,Kansas,2021-01-01,789.8808258702865
56,Kentucky,2021-01-01,995.8738152184455
57,Louisiana,2021-01-01,1286.6346182254488
58,Maryland,2021-01-01,1619.7338976586316
59,Massachusetts,2021-01-01,1719.1938975268054
60,Michigan,2021-01-01,1273.6462764093205
61,Minnesota,2021-01-01,1526.6053329385575
62,Mississippi,2021-01-01,1253.4899851132616
63,Missouri,2021-01-01,1168.5744161664163
64,Nebraska,2021-01-01,1229.1606433836391
65,Nevada,2021-01-01,1426.0777892356825
66,New Mexico,2021-01-01,1197.3683446552288
67,New York,2021-01-01,1500.3451776603602
68,North Carolina,2021-01-01,1353.4336340150717
69,Ohio,2021-01-01,1038.3358274043226
70,Oklahoma,2021-01-01,1128.3477720739122
71,Oregon,2021-01-01,1647.9302115046823
72,Pennsylvania,2021-01-01,1215.6443994263539
73,Rhode Island,2021-01-01,1560.8255674483523
74,South Carolina,2021-01-01,1321.5528804103162
75,Tennessee,2021-01-01,1374.4072022911357
76,Texas,2021-01-01,1434.3678283321494
77,United States,2021-01-01,1737.7849805114358
78,Utah,2021-01-01,1354.673326089094
79,Virginia,2021-01-01,1336.2813630805406
80,Washington,2021-01-01,1640.175629067051
81,Wisconsin,2021-01-01,1276.4742970796938
82,Alabama,2021-02-01,1100.8785274223974
83,Arizona,2021-02-01,1363.847976381721
84,Arkansas,2021-02-01,918.9493454161129
85,California,2021-02-01,2297.8215204895755
86,Colorado,2021-02-01,1685.3777631461548
87,Connecticut,2021-02-01,1662.6494981997005
88,District of Columbia,2021-02-01,2023.0875963314936
89,Florida,2021-02-01,1754.742407267767
90,Georgia,2021-02-01,1390.595525892551
91,Hawaii,2021-02-01,2088.113267498292
92,Idaho,2021-02-01,1347.24992067458
93,Illinois,2021-02-01,1650.519971981537
94,Indiana,2021-02-01,1270.480150313112
95,Iowa,2021-02-01,1124.5485606985005
96,Kansas,2021-02-01,978.1304698398692
97,Kentucky,2021-02-01,989.8444713160554
98,Louisiana,2021-02-01,1282.3526590264362
99,Maryland,2021-02-01,1613.5989595934263
100,Massachusetts,2021-02-01,1688.1544282235027
101,Michigan,2021-02-01,1274.7826537600847
102,Minnesota,2021-02-01,1525.419320899375
103,Mississippi,2021-02-01,1234.026440768691
104,Missouri,2021-02-01,1169.8097980474802
105,Nebraska,2021-02-01,1252.5323710085572
106,Nevada,2021-02-01,1429.2994474533061
107,New Mexico,2021-02-01,1208.9896249251842
108,New York,2021-02-01,1468.9590404702965
109,North Carolina,2021-02-01,1341.7292757420785
110,Ohio,2021-02-01,1076.1012602055239
111,Oklahoma,2021-02-01,1131.4923915745687
112,Oregon,2021-02-01,1638.0771836426845
113,Pennsylvania,2021-02-01,1245.4623490547594
114,Rhode Island,2021-02-01,1544.4401301109963
115,South Carolina,2021-02-01,1339.955268259047
116,Tennessee,2021-02-01,1381.3434241502453
117,Texas,2021-02-01,1420.1880708547392
118,United States,2021-02-01,1720.5334299746453
119,Utah,2021-02-01,1358.9347030477468
120,Virginia,2021-02-01,1344.0547072969857
121,Washington,2021-02-01,1629.4900059176161
122,Wisconsin,2021-02-01,1281.9049246678605
123,Alabama,2021-03-01,1106.504642879138
124,Arizona,2021-03-01,1404.2795827933385
125,Arkansas,2021-03-01,931.7034434618316
126,California,2021-03-01,2355.255133058334
127,Colorado,2021-03-01,1715.3261435765962
128,Connecticut,2021-03-01,1679.0698985051556
129,District of Columbia,2021-03-01,2076.0427332130052
130,Florida,2021-03-01,1779.572890705984
131,Georgia,2021-03-01,1381.6872910549819
132,Hawaii,2021-03-01,2112.9902615514425
133,Idaho,2021-03-01,1370.9653121774877
134,Illinois,2021-03-01,1692.3631802186599
135,Indiana,2021-03-01,1275.5333305012196
136,Iowa,2021-03-01,1158.3554949509512
137,Kansas,2021-03-01,818.1369843587906
138,Kentucky,2021-03-01,999.2425664553571
139,Louisiana,2021-03-01,1303.6104398112109
140,Maryland,2021-03-01,1660.0613593796636
141,Massachusetts,2021-03-01,1734.7866050039595
142,Michigan,2021-03-01,1281.530570550931
143,Minnesota,2021-03-01,1564.745529254459
144,Mississippi,2021-03-01,1279.232364533477
145,Missouri,2021-03-01,1182.8646999262144
146,Nebraska,2021-03-01,1243.9308787547552
147,Nevada,2021-03-01,1464.741417373908
148,New Mexico,2021-03-01,1228.6801608830476
149,New York,2021-03-01,1496.353858020135
150,North Carolina,2021-03-01,1372.0966511186398
151,Ohio,2021-03-01,1056.9392675859983
152,Oklahoma,2021-03-01,1139.1811522629819
153,Oregon,2021-03-01,1673.5280893744507
154,Pennsylvania,2021-03-01,1270.3448282729128
155,Rhode Island,2021-03-01,1591.4873092017276
156,South Carolina,2021-03-01,1354.8766503619895
157,Tennessee,2021-03-01,1399.2648032377317
158,Texas,2021-03-01,1451.944211239167
159,United States,2021-03-01,1752.9346530320252
160,Utah,2021-03-01,1398.8560417246692
161,Virginia,2021-03-01,1359.1749284219359
162,Washington,2021-03-01,1658.2423077218261
163,Wisconsin,2021-03-01,1291.7593379417035
164,Alabama,2021-04-01,1102.2921515478272
165,Arizona,2021-04-01,1416.1589387282622
166,Arkansas,2021-04-01,933.5303099729091
167,California,2021-04-01,2357.003421647722
168,Colorado,2021-04-01,1718.3570760216603
169,Connecticut,2021-04-01,1682.7632478370615
170,District of Columbia,2021-04-01,2077.578676184445
171,Florida,2021-04-01,1785.773782677736
172,Georgia,2021-04-01,1392.1132532052272
173,Hawaii,2021-04-01,2111.267225343532
174,Idaho,2021-04-01,1389.9454991425876
175,Illinois,2021-04-01,1703.719057954994
176,Indiana,2021-04-01,1274.6963220715031
177,Iowa,2021-04-01,1160.3228267239647
178,Kansas,2021-04-01,829.0874117766742
179,Kentucky,2021-04-01,1014.2708096592619
180,Louisiana,2021-04-01,1312.367059522835
181,Maryland,2021-04-01,1661.000050554709
182,Massachusetts,2021-04-01,1731.3743325564612
183,Michigan,2021-04-01,1295.7026108572109
184,Minnesota,2021-04-01,1569.3040929228805
185,Mississippi,2021-04-01,1283.734994079027
186,Missouri,2021-04-01,1191.11150542735
187,Nebraska,2021-04-01,1253.8208984875089
188,Nevada,2021-04-01,1476.752067252722
189,New Mexico,2021-04-01,1243.3935425220177
190,New York,2021-04-01,1514.0930593948658
191,North Carolina,2021-04-01,1388.8804091927923
192,Ohio,2021-04-01,1060.2077723775462
193,Oklahoma,2021-04-01,1148.9116908336978
194,Oregon,2021-04-01,1678.8694692384822
195,Pennsylvania,2021-04-01,1264.9552794175042
196,Rhode Island,2021-04-01,1615.708477958294
197,South Carolina,2021-04-01,1372.1902277884642
198,Tennessee,2021-04-01,1412.6207306540387
199,Texas,2021-04-01,1455.3318707253063
200,United States,2021-04-01,1759.2419808975353
201,Utah,2021-04-01,1393.383277758242
202,Virginia,2021-04-01,1366.72926421185
203,Washington,2021-04-01,1680.8550473398027
204,Wisconsin,2021-04-01,1288.3849060142604
205,Alabama,2021-05-01,1119.5233201034318
206,Arizona,2021-05-01,1421.5860227103724
207,Arkansas,2021-05-01,939.0380641474878
208,California,2021-05-01,2348.6497928969848
209,Colorado,2021-05-01,1719.7916945856114
210,Connecticut,2021-05-01,1712.320416886951
211,District of Columbia,2021-05-01,2069.758853427636
212,Florida,2021-05-01,1780.4035086815184
213,Georgia,2021-05-01,1393.216818684491
214,Hawaii,2021-05-01,2107.3437512244204
215,Idaho,2021-05-01,1400.597600890587
216,Illinois,2021-05-01,1700.2725780004762
217,Indiana,2021-05-01,1282.8083380220753
