,date,price,city,state
0,2014-01-01,744.0,Akron,Ohio
1,2014-01-01,1110.0,Albany,New York
2,2014-01-01,977.0,Albuquerque,New Mexico
3,2014-01-01,1063.0,Allentown,Pennsylvania
4,2014-01-01,1866.0,Anaheim,California
5,2014-01-01,1123.0,Atlanta,Georgia
6,2014-01-01,1064.0,Augusta,Georgia
7,2014-01-01,1233.0,Austin,Texas
8,2014-01-01,1049.0,Bakersfield,California
9,2014-01-01,1474.0,Baltimore,Maryland
10,2014-01-01,1052.0,Baton Rouge,Louisiana
11,2014-01-01,909.0,Birmingham,Alabama
12,2014-01-01,852.0,Boise City,Idaho
13,2014-01-01,1974.0,Boston,Massachusetts
14,2014-01-01,1598.0,Boulder,Colorado
15,2014-01-01,1631.0,Bradenton,Florida
16,2014-01-01,890.0,Buffalo,New York
17,2014-01-01,1191.0,Charleston,South Carolina
18,2014-01-01,1123.0,Charlotte,North Carolina
19,2014-01-01,828.0,Chattanooga,Tennessee
20,2014-01-01,1448.0,Chicago,Illinois
21,2014-01-01,989.0,Cincinnati,Ohio
22,2014-01-01,958.0,Cleveland,Ohio
23,2014-01-01,1053.0,Colorado Springs,Colorado
24,2014-01-01,1064.0,Columbia,South Carolina
25,2014-01-01,1009.0,Columbus,Ohio
26,2014-01-01,1202.0,Dallas,Texas
27,2014-01-01,1064.0,Dayton,Ohio
28,2014-01-01,1017.0,Daytona Beach,Florida
29,2014-01-01,1218.0,Denver,Colorado
30,2014-01-01,981.0,Des Moines,Iowa
31,2014-01-01,1045.0,Detroit,Michigan
32,2014-01-01,1122.0,Durham,North Carolina
33,2014-01-01,1037.0,El Paso,Texas
34,2014-01-01,1160.0,Fort Collins,Colorado
35,2014-01-01,1561.0,Fort Lauderdale,Florida
36,2014-01-01,1329.0,Fort Myers,Florida
37,2014-01-01,1202.0,Fort Worth,Texas
38,2014-01-01,1100.0,Fresno,California
39,2014-01-01,952.0,Gainesville,Georgia
40,2014-01-01,824.0,Grand Rapids,Michigan
41,2014-01-01,1165.0,Greeley,Colorado
42,2014-01-01,964.0,Greensboro,North Carolina
43,2014-01-01,1016.0,Greenville,South Carolina
44,2014-01-01,993.0,Harrisburg,Pennsylvania
45,2014-01-01,1143.0,Hartford,Connecticut
46,2014-01-01,1708.0,Honolulu,Hawaii
47,2014-01-01,1245.0,Houston,Texas
48,2014-01-01,985.0,Indianapolis,Indiana
49,2014-01-01,1110.0,Jackson,Mississippi
50,2014-01-01,1084.0,Jacksonville,Florida
51,2014-01-01,760.0,Jefferson County,Kentucky
52,2014-01-01,925.0,Kansas City,Missouri
53,2014-01-01,1031.0,Knoxville,Tennessee
54,2014-01-01,1031.0,Lakeland,Florida
55,2014-01-01,1033.0,Las Vegas,Nevada
56,2014-01-01,815.0,Little Rock,Arkansas
57,2014-01-01,1866.0,Long Beach,California
58,2014-01-01,1866.0,Los Angeles,California
59,2014-01-01,760.0,Louisville,Kentucky
60,2014-01-01,1175.0,Madison,Wisconsin
61,2014-01-01,995.0,Melbourne,Florida
62,2014-01-01,1036.0,Memphis,Tennessee
63,2014-01-01,1561.0,Miami,Florida
64,2014-01-01,1015.0,Milwaukee,Wisconsin
65,2014-01-01,1213.0,Minneapolis,Minnesota
66,2014-01-01,1171.0,Nashville,Tennessee
67,2014-01-01,1186.0,New Haven,Connecticut
68,2014-01-01,1181.0,New Orleans,Louisiana
69,2014-01-01,2329.0,New York,New York
70,2014-01-01,1631.0,North Port,Florida
71,2014-01-01,908.0,Ogden,Utah
72,2014-01-01,956.0,Oklahoma City,Oklahoma
73,2014-01-01,986.0,Omaha,Nebraska
74,2014-01-01,1190.0,Orlando,Florida
75,2014-01-01,1353.0,Philadelphia,Pennsylvania
76,2014-01-01,1000.0,Phoenix,Arizona
77,2014-01-01,1064.0,Pittsburgh,Pennsylvania
78,2014-01-01,1161.0,Port St. Lucie,Florida
79,2014-01-01,1163.0,Portland,Oregon
80,2014-01-01,1147.0,Providence,Rhode Island
81,2014-01-01,972.0,Provo,Utah
82,2014-01-01,1215.0,Raleigh,North Carolina
83,2014-01-01,1064.0,Richmond,Virginia
84,2014-01-01,1500.0,Riverside,California
85,2014-01-01,929.0,Rochester,New York
86,2014-01-01,1251.0,Sacramento,California
87,2014-01-01,966.0,Salem,North Carolina
88,2014-01-01,1053.0,Salt Lake City,Utah
89,2014-01-01,1064.0,San Antonio,Texas
90,2014-01-01,1683.0,San Diego,California
91,2014-01-01,2185.0,San Francisco,California
92,2014-01-01,2075.0,San Jose,California
93,2014-01-01,1631.0,Sarasota,Florida
94,2014-01-01,718.0,Scranton,Pennsylvania
95,2014-01-01,1359.0,Seattle,Washington
96,2014-01-01,908.0,Spokane,Washington
97,2014-01-01,1051.0,Springfield,Massachusetts
98,2014-01-01,969.0,St. Louis,Missouri
99,2014-01-01,1213.0,St. Paul,Minnesota
100,2014-01-01,1747.0,Stamford,Connecticut
101,2014-01-01,1321.0,Stockton,California
102,2014-01-01,878.0,Syracuse,New York
103,2014-01-01,1132.0,Tampa,Florida
104,2014-01-01,730.0,Toledo,Ohio
105,2014-01-01,915.0,Tucson,Arizona
106,2014-01-01,1005.0,Tulsa,Oklahoma
107,2014-01-01,1368.0,United States,United States
108,2014-01-01,2089.0,Ventura,California
109,2014-01-01,1187.0,Virginia Beach,Virginia
110,2014-01-01,1852.0,Washington,District of Columbia
111,2014-01-01,1064.0,Wichita,Kansas
112,2014-01-01,966.0,Winston,North Carolina
113,2014-01-01,1039.0,Worcester,Massachusetts
114,2014-01-01,1064.0,Youngstown,Ohio
115,2014-02-01,763.0,Akron,Ohio
116,2014-02-01,1094.0,Albany,New York
117,2014-02-01,975.0,Albuquerque,New Mexico
118,2014-02-01,1055.0,Allentown,Pennsylvania
119,2014-02-01,1886.0,Anaheim,California
120,2014-02-01,1127.0,Atlanta,Georgia
121,2014-02-01,937.0,Augusta,Georgia
122,2014-02-01,1250.0,Austin,Texas
123,2014-02-01,1046.0,Bakersfield,California
124,2014-02-01,1481.0,Baltimore,Maryland
125,2014-02-01,1037.0,Baton Rouge,Louisiana
126,2014-02-01,919.0,Birmingham,Alabama
127,2014-02-01,892.0,Boise City,Idaho
128,2014-02-01,2004.0,Boston,Massachusetts
129,2014-02-01,1496.0,Boulder,Colorado
130,2014-02-01,1650.0,Bradenton,Florida
131,2014-02-01,869.0,Buffalo,New York
132,2014-02-01,1178.0,Charleston,South Carolina
133,2014-02-01,1132.0,Charlotte,North Carolina
134,2014-02-01,913.0,Chattanooga,Tennessee
135,2014-02-01,1461.0,Chicago,Illinois
