,city,date,price,state
0,Akron,2014-01-01,746.9137909,Ohio
1,Albany,2014-01-01,1111.163468,New York
2,Albuquerque,2014-01-01,970.4638807,New Mexico
3,Allentown,2014-01-01,1084.932048,Pennsylvania
4,Anaheim,2014-01-01,1869.304597,California
5,Atlanta,2014-01-01,1119.151751,Georgia
6,Augusta,2014-01-01,996.7560156,Georgia
7,Austin,2014-01-01,1237.023387,Texas
8,Bakersfield,2014-01-01,1045.782161,California
9,Baltimore,2014-01-01,1474.479815,Maryland
10,Baton Rouge,2014-01-01,1043.080824,Louisiana
11,Birmingham,2014-01-01,912.0783184,Alabama
12,Boise City,2014-01-01,861.9166961,Idaho
13,Boston,2014-01-01,1975.521197,Massachusetts
14,Boulder,2014-01-01,1556.546051,Colorado
15,Bradenton,2014-01-01,1634.873087,Florida
16,Buffalo,2014-01-01,876.0176585,New York
17,Charleston,2014-01-01,1170.065902,South Carolina
18,Charlotte,2014-01-01,1124.57267,North Carolina
19,Chattanooga,2014-01-01,878.5542282,Tennessee
20,Chicago,2014-01-01,1449.775361,Illinois
21,Cincinnati,2014-01-01,994.3652153,Ohio
22,Cleveland,2014-01-01,961.5809972,Ohio
23,Colorado Springs,2014-01-01,1051.283984,Colorado
24,Columbia,2014-01-01,988.6856671,South Carolina
25,Columbus,2014-01-01,1007.137681,Ohio
26,Dallas,2014-01-01,1195.933412,Texas
27,Dayton,2014-01-01,898.3055192,Ohio
28,Daytona Beach,2014-01-01,1011.468396,Florida
29,Denver,2014-01-01,1213.951602,Colorado
30,Des Moines,2014-01-01,978.6300823,Iowa
31,Detroit,2014-01-01,1039.46252,Michigan
32,Durham,2014-01-01,1132.931186,North Carolina
33,El Paso,2014-01-01,1039.906297,Texas
34,Fort Collins,2014-01-01,1154.553915,Colorado
35,Fort Lauderdale,2014-01-01,1554.682878,Florida
36,Fort Myers,2014-01-01,1308.017893,Florida
37,Fort Worth,2014-01-01,1195.933412,Texas
38,Fresno,2014-01-01,1119.833252,California
39,Gainesville,2014-01-01,961.4535229,Georgia
40,Grand Rapids,2014-01-01,825.8589704,Michigan
41,Greeley,2014-01-01,1140.488686,Colorado
42,Greensboro,2014-01-01,971.2852266,North Carolina
43,Greenville,2014-01-01,1020.341021,South Carolina
44,Harrisburg,2014-01-01,983.0623561,Pennsylvania
45,Hartford,2014-01-01,1137.662058,Connecticut
46,Honolulu,2014-01-01,1685.793386,Hawaii
47,Houston,2014-01-01,1237.875548,Texas
48,Indianapolis,2014-01-01,983.5754844,Indiana
49,Jackson,2014-01-01,1103.394137,Mississippi
50,Jacksonville,2014-01-01,1085.440708,Florida
51,Jefferson County,2014-01-01,765.2051102,Kentucky
52,Kansas City,2014-01-01,928.7859999,Missouri
53,Knoxville,2014-01-01,1026.519447,Tennessee
54,Lakeland,2014-01-01,1038.281591,Florida
55,Las Vegas,2014-01-01,1030.258974,Nevada
56,Little Rock,2014-01-01,810.5853025,Arkansas
57,Long Beach,2014-01-01,1869.304597,California
58,Los Angeles,2014-01-01,1869.304597,California
59,Louisville,2014-01-01,765.2051102,Kentucky
60,Madison,2014-01-01,1162.828198,Wisconsin
61,Melbourne,2014-01-01,993.3850097,Florida
62,Memphis,2014-01-01,1038.802195,Tennessee
63,Miami,2014-01-01,1554.682878,Florida
64,Milwaukee,2014-01-01,1017.922563,Wisconsin
65,Minneapolis,2014-01-01,1207.091906,Minnesota
66,Nashville,2014-01-01,1164.154921,Tennessee
67,New Haven,2014-01-01,1177.531319,Connecticut
68,New Orleans,2014-01-01,1180.080934,Louisiana
69,New York,2014-01-01,2346.872561,New York
70,North Port,2014-01-01,1634.873087,Florida
71,Ogden,2014-01-01,904.9829092,Utah
72,Oklahoma City,2014-01-01,955.7220355,Oklahoma
73,Omaha,2014-01-01,962.5117002,Nebraska
74,Orlando,2014-01-01,1190.01564,Florida
75,Philadelphia,2014-01-01,1346.558342,Pennsylvania
76,Phoenix,2014-01-01,996.4911202,Arizona
77,Pittsburgh,2014-01-01,1031.580447,Pennsylvania
78,Port St. Lucie,2014-01-01,1160.309561,Florida
