State,City,Walk Score,Transit Score,Bike Score,Population
CA,Los Angeles (the largest city in California),68,53,59,"3,792,621"
CA,San Diego,51,37,43,"1,307,402"
CA,San Jose,49,41,62,"945,942"
CA,San Francisco,87,80,72,"805,235"
CA,Fresno,45,32,59,"494,665"
CA,Sacramento,45,34,68,"466,488"
CA,Long Beach,72,52,69,"462,257"
CA,Oakland,74,56,65,"390,724"
CA,Bakersfield,34,27,44,"347,483"
CA,Anaheim,55,37,52,"336,265"
CA,Santa Ana,66,45,61,"324,528"
CA,Riverside,42,33,49,"303,871"
CA,Stockton,43,28,57,"291,707"
CA,Chula Vista,43,36,41,"243,916"
CA,Fremont,48,36,54,"214,089"
CA,Irvine,43,27,69,"212,375"
CA,San Bernardino,43,35,44,"209,924"
CA,Modesto,45,30,50,"201,165"
CA,Oxnard,55,32,52,"197,899"
CA,Fontana,36,29,41,"196,069"
CA,Moreno Valley,32,29,37,"193,365"
CA,Glendale,71,45,52,"191,719"
CA,Huntington Beach,55,32,71,"189,992"
CA,Santa Clarita,35,--,33,"176,320"
CA,Garden Grove,61,39,58,"170,883"
CA,Santa Rosa,44,27,51,"167,815"
CA,Oceanside,36,33,33,"167,086"
CA,Rancho Cucamonga,40,25,46,"165,269"
CA,Ontario,46,26,47,"163,924"
CA,Lancaster,29,--,42,"156,633"
CA,Elk Grove,32,--,46,"153,015"
CA,Palmdale,24,--,35,"152,750"
CA,Corona,38,18,35,"152,374"
CA,Salinas,47,33,51,"150,441"
CA,Pomona,52,35,48,"149,058"
CA,Torrance,67,39,55,"145,438"
CA,Hayward,55,40,54,"144,186"
CA,Escondido,44,31,40,"143,911"
CA,Sunnyvale,59,41,76,"140,081"
CA,Pasadena,69,51,70,"137,122"
CA,Orange,51,34,55,"136,416"
CA,Fullerton,53,34,48,"135,161"
CA,Thousand Oaks,32,17,27,"126,683"
CA,East Los Angeles,75,56,50,"126,496"
CA,Visalia,35,--,49,"124,442"
CA,Simi Valley,36,21,47,"124,237"
CA,Concord,46,30,53,"122,067"
CA,Roseville,36,20,61,"118,788"
CA,Santa Clara,58,41,74,"116,468"
CA,Vallejo,40,31,36,"115,942"
CA,Victorville,19,23,34,"115,903"
CA,El Monte,62,46,58,"113,475"
CA,Berkeley,83,59,82,"112,580"
CA,Downey,60,--,54,"111,772"
CA,Costa Mesa,64,39,66,"109,960"
CA,Inglewood,72,49,55,"109,673"
CA,San Buenaventura (Ventura),46,--,57,"106,433"
CA,West Covina,44,--,37,"106,098"
CA,Norwalk,60,43,53,"105,549"
CA,Carlsbad,30,23,29,"105,328"
CA,Fairfield,32,25,42,"105,321"
CA,Richmond,57,43,53,"103,701"
CA,Murrieta,27,20,24,"103,466"
CA,Burbank,70,39,62,"103,340"
CA,Antioch,36,--,42,"102,372"
CA,Daly City,61,52,35,"101,123"
CA,Temecula,29,16,29,"100,097"
CA,Santa Maria,47,--,55,"99,553"
CA,El Cajon,57,38,47,"99,478"
CA,Rialto,39,30,45,"99,171"
CA,San Mateo,65,40,65,"97,207"
CA,Compton,65,--,61,"96,455"
CA,Clovis,36,--,51,"95,631"
CA,South Gate,70,--,56,"94,396"
CA,Vista,44,34,31,"93,834"
CA,Mission Viejo,35,--,37,"93,305"
CA,Vacaville,33,24,46,"92,428"
CA,Arden-Arcade,50,32,65,"92,186"
CA,Carson,55,--,51,"91,714"
CA,Hesperia,15,--,32,"90,173"
CA,Redding,26,18,42,"89,861"
CA,Santa Monica,82,62,86,"89,736"
CA,Westminster,63,--,58,"89,701"
CA,Santa Barbara,61,--,66,"88,410"
CA,Chico,45,--,69,"86,187"
CA,Whittier,63,--,52,"85,331"
CA,Newport Beach,47,29,53,"85,186"
CA,San Leandro,63,45,62,"84,950"
CA,Hawthorne,71,45,59,"84,293"
CA,San Marcos,33,--,30,"83,781"
CA,Citrus Heights,43,--,47,"83,301"
CA,Alhambra,71,--,50,"83,089"
CA,Tracy,42,--,47,"82,922"
CA,Livermore,40,--,66,"80,968"
CA,Buena Park,55,39,55,"80,530"
CA,Lakewood,56,--,62,"80,048"
CA,Merced,38,--,53,"78,958"
CA,Hemet,30,--,43,"78,657"
CA,Chino,43,24,48,"77,983"
CA,Menifee,16,--,29,"77,519"
CA,Lake Forest,39,--,46,"77,264"
CA,Napa,42,--,60,"76,915"
CA,Redwood City,61,--,67,"76,815"
CA,Bellflower,65,--,61,"76,616"
CA,Indio,31,--,43,"76,036"
CA,Tustin,51,34,59,"75,540"
CA,Baldwin Park,53,--,50,"75,390"
CA,Chino Hills,23,--,20,"74,799"
CA,Mountain View,65,43,90,"74,066"
CA,Alameda,66,41,76,"73,812"
CA,Upland,47,29,49,"73,732"
CA,Folsom,30,--,55,"72,203"
CA,San Ramon,24,--,37,"72,148"
CA,Pleasanton,40,--,58,"70,285"
CA,Lynwood,69,--,57,"69,772"
CA,Union City,47,--,53,"69,516"
CA,Apple Valley,12,20,31,"69,135"
CA,Redlands,39,--,53,"68,747"
CA,Turlock,41,29,46,"68,549"
CA,Perris,24,--,33,"68,386"
CA,Manteca,41,--,46,"67,096"
CA,Milpitas,52,39,66,"66,790"
CA,Redondo Beach,74,--,64,"66,748"
CA,Davis,44,34,90,"65,622"
CA,Camarillo,42,--,46,"65,201"
CA,Yuba City,41,--,56,"64,925"
CA,Rancho Cordova,41,33,60,"64,776"
CA,Palo Alto,60,39,91,"64,403"
CA,Yorba Linda,28,--,34,"64,234"
CA,Walnut Creek,39,26,49,"64,173"
CA,South San Francisco,57,--,43,"63,632"
CA,San Clemente,34,--,31,"63,522"
CA,Florence-Graham,75,59,57,"63,387"
CA,Pittsburg,34,--,40,"63,264"
CA,Laguna Niguel,32,--,32,"62,979"
CA,Pico Rivera,58,--,60,"62,942"
CA,Montebello,65,--,53,"62,500"
CA,Lodi,55,13,53,"62,134"
CA,Carmichael,44,--,56,"61,762"
CA,Madera,44,--,46,"61,416"
CA,Castro Valley,39,26,31,"61,388"
CA,Monterey Park,63,--,39,"60,269"
CA,La Habra,62,--,47,"60,239"
CA,Santa Cruz,62,37,84,"59,946"
CA,Encinitas,41,--,36,"59,518"
CA,Tulare,40,--,57,"59,278"
CA,Gardena,75,46,57,"58,829"
CA,National City,66,47,48,"58,582"
CA,Cupertino,48,35,66,"58,302"
CA,Huntington Park,82,53,60,"58,114"
CA,Petaluma,47,30,56,"57,941"
CA,San Rafael,51,37,46,"57,713"
CA,South Whittier,53,--,48,"57,156"
CA,La Mesa,59,42,36,"57,065"
CA,Rocklin,32,--,51,"56,974"
CA,Arcadia,54,--,47,"56,364"
CA,Diamond Bar,29,--,18,"55,544"
CA,Woodland,48,28,67,"55,468"
CA,Fountain Valley,55,34,66,"55,313"
CA,Porterville,40,--,47,"54,165"
CA,Paramount,63,--,57,"54,098"
CA,Hacienda Heights,34,--,30,"54,038"
CA,Hanford,35,21,47,"53,967"
CA,Rosemead,64,40,52,"53,764"
CA,Eastvale,24,--,34,"53,668"
CA,Santee,33,--,31,"53,413"
CA,Highland,33,28,36,"53,104"
CA,Delano,34,--,40,"53,041"
CA,Colton,41,29,45,"52,154"
CA,Novato,33,30,37,"51,904"
CA,Lake Elsinore,21,--,24,"51,821"
CA,Brentwood,35,--,50,"51,481"
CA,Yucaipa,24,--,27,"51,367"
CA,Cathedral City,36,--,43,"51,200"
CA,Watsonville,65,32,71,"51,199"
CA,Placentia,50,31,47,"50,533"
CA,Glendora,45,31,42,"50,073"
CA,Cerritos,53,--,57,"49,041"
CA,Rowland Heights,43,--,34,"48,993"
CA,Gilroy,42,--,63,"48,821"
CA,West Sacramento,33,24,62,"48,744"
CA,La Mirada,47,--,52,"48,527"
CA,Palm Desert,27,--,40,"48,445"
CA,Rancho Santa Margarita,33,--,34,"47,853"
CA,Aliso Viejo,36,--,36,"47,823"
CA,Poway,29,--,31,"47,811"
CA,Cypress,52,32,63,"47,802"
CA,Covina,57,35,49,"47,796"
CA,Florin,42,--,46,"47,513"
CA,Azusa,56,41,50,"46,361"
CA,Dublin,37,--,56,"46,036"
CA,Antelope,33,--,44,"45,770"
CA,Ceres,39,19,45,"45,417"
CA,San Luis Obispo,54,30,68,"45,119"
CA,Palm Springs,35,29,46,"44,552"
CA,San Jacinto,28,--,42,"44,199"
CA,Lincoln,22,--,49,"42,819"
CA,Altadena,50,--,44,"42,777"
CA,North Highlands,48,31,57,"42,694"
CA,El Centro,49,--,49,"42,598"
CA,Newark,54,31,48,"42,573"
CA,Lompoc,51,--,65,"42,434"
CA,El Dorado Hills,12,--,18,"42,108"
CA,Bell Gardens,70,--,62,"42,072"
CA,Danville,23,--,35,"42,039"
CA,Rancho Palos Verdes,28,--,21,"41,643"
CA,San Bruno,52,--,36,"41,114"
CA,Rohnert Park,42,--,56,"40,971"
CA,Coachella,38,--,43,"40,704"
CA,La Puente,57,--,47,"39,816"
CA,San Gabriel,73,37,51,"39,718"
CA,Campbell,54,39,71,"39,349"
CA,Brea,49,--,47,"39,282"
CA,Culver City,75,51,71,"38,883"
CA,Calexico,53,--,49,"38,572"
CA,Stanton,61,39,57,"38,186"
CA,Morgan Hill,30,23,50,"37,882"
CA,La Quinta,22,--,34,"37,467"
CA,Pacifica,40,--,26,"37,234"
CA,Beaumont,22,--,31,"36,877"
CA,Montclair,55,36,54,"36,664"
CA,Monrovia,61,33,47,"36,590"
CA,Willowbrook,57,--,53,"35,983"
CA,Los Banos,32,--,40,"35,972"
CA,Martinez,38,--,39,"35,824"
CA,Temple City,56,40,56,"35,558"
CA,Bell,77,--,61,"35,477"
CA,Oakley,25,--,50,"35,432"
CA,Manhattan Beach,72,--,52,"35,135"
CA,Hollister,42,20,49,"34,928"
CA,Claremont,46,--,50,"34,926"
CA,San Juan Capistrano,34,--,46,"34,593"
CA,Moorpark,30,--,32,"34,421"
CA,West Hollywood,91,61,57,"34,399"
CA,Rubidoux,30,--,32,"34,280"
CA,La Presa,41,32,33,"34,169"
CA,Beverly Hills,75,60,53,"34,109"
CA,Orangevale,32,--,41,"33,960"
CA,San Dimas,35,--,33,"33,371"
CA,Dana Point,52,27,43,"33,351"
CA,Pleasant Hill,51,29,60,"33,152"
CA,Foothill Farms,41,--,56,"33,121"
CA,Seaside,51,--,48,"33,025"
CA,Lawndale,81,--,59,"32,769"
CA,Oildale,44,33,48,"32,684"
CA,Wildomar,10,--,22,"32,176"
CA,Menlo Park,57,--,79,"32,026"
CA,Westmont,60,56,56,"31,853"
CA,Adelanto,12,--,31,"31,765"
CA,La Verne,40,--,39,"31,063"
CA,Fair Oaks,37,23,40,"30,912"
CA,Foster City,44,--,65,"30,567"
CA,Fallbrook,38,--,26,"30,534"
CA,Laguna Hills,40,28,41,"30,344"
CA,Saratoga,28,--,45,"29,926"
CA,Goleta,42,--,71,"29,888"
CA,El Paso de Robles (Paso Robles),40,--,31,"29,793"
CA,Banning,29,--,32,"29,603"
CA,Los Gatos,43,--,51,"29,413"
CA,Santa Paula,55,--,47,"29,321"
CA,Walnut,30,36,29,"29,172"
CA,San Pablo,70,44,51,"29,139"
CA,Los Altos,45,30,72,"28,976"
CA,Orcutt,23,--,40,"28,905"
CA,Burlingame,65,--,65,"28,806"
CA,San Carlos,45,--,41,"28,406"
CA,Atascadero,26,--,29,"28,310"
CA,Spring Valley,33,28,25,"28,205"
CA,Atwater,39,--,43,"28,168"
CA,East Palo Alto,58,--,70,"28,155"
CA,Suisun City,33,--,51,"28,111"
CA,Monterey,54,39,47,"27,810"
