State,City,Walk Score,Transit Score,Bike Score,Population
FL,Jacksonville (the largest city in Florida),26,23,43,"821,784"
FL,Miami,78,57,65,"399,457"
FL,Tampa,49,34,57,"335,709"
FL,St. Petersburg,44,35,61,"244,769"
FL,Orlando,41,33,60,"238,300"
FL,Hialeah,69,39,58,"224,669"
FL,Tallahassee,32,31,47,"181,376"
FL,Fort Lauderdale,57,39,57,"165,521"
FL,Port St. Lucie,13,--,37,"164,603"
FL,Pembroke Pines,32,24,43,"154,750"
FL,Cape Coral,17,--,39,"154,305"
FL,Hollywood,54,34,54,"140,768"
FL,Gainesville,36,--,68,"124,354"
FL,Miramar,28,24,43,"122,041"
FL,Coral Springs,37,29,46,"121,096"
FL,Clearwater,43,29,57,"107,685"
FL,Miami Gardens,40,42,46,"107,167"
FL,Brandon,23,--,42,"103,483"
FL,Palm Bay,13,--,39,"103,190"
FL,West Palm Beach,43,--,52,"99,919"
FL,Pompano Beach,44,34,54,"99,845"
FL,Spring Hill,16,--,36,"98,621"
FL,Lakeland,37,--,52,"97,422"
FL,Davie,27,16,45,"91,992"
FL,Miami Beach,75,51,70,"87,779"
FL,Lehigh Acres,7,--,32,"86,784"
FL,Deltona,15,--,32,"85,182"
FL,Plantation,29,34,44,"84,955"
FL,Sunrise,37,33,46,"84,439"
FL,Boca Raton,38,--,57,"84,392"
FL,Town 'n' Country,33,27,47,"78,442"
FL,Alafaya,17,--,43,"78,113"
FL,Largo,43,31,53,"77,648"
FL,Melbourne,34,20,47,"76,068"
FL,Kendall,44,35,49,"75,371"
FL,Palm Coast,6,--,35,"75,180"
FL,Deerfield Beach,39,27,51,"75,018"
FL,Riverview,14,--,38,"71,050"
FL,Boynton Beach,35,--,46,"68,217"
FL,Lauderhill,41,36,49,"66,887"
FL,Weston,17,--,41,"65,333"
FL,Fort Myers,36,--,51,"62,298"
FL,Daytona Beach,37,29,52,"61,005"
FL,Delray Beach,37,--,50,"60,522"
FL,Homestead,34,25,47,"60,512"
FL,Tamarac,31,30,53,"60,427"
FL,Pine Hills,28,31,40,"60,076"
FL,Fountainebleau,49,43,53,"59,764"
FL,Kissimmee,30,27,50,"59,682"
FL,North Miami,63,43,54,"58,786"
