State,City,Walk Score,Transit Score,Bike Score,Population
ID,Boise City (the largest city in Idaho),39,23,62,"205,671"
ID,Nampa,30,--,46,"81,557"
ID,Meridian,26,--,41,"75,092"
ID,Idaho Falls,40,--,51,"56,813"
ID,Pocatello,38,--,42,"54,255"
ID,Caldwell,26,--,39,"46,237"
ID,Coeur d'Alene,36,--,50,"44,137"
ID,Twin Falls,38,--,55,"44,125"
ID,Lewiston,35,--,41,"31,894"
ID,Post Falls,22,--,41,"27,574"
ID,Rexburg,44,--,56,"25,484"
ID,Moscow,47,--,55,"23,800"
ID,Eagle,18,--,38,"19,908"
