State,City,Walk Score,Transit Score,Bike Score,Population
IN,Indianapolis (the largest city in Indiana),31,23,45,"820,445"
IN,Fort Wayne,30,22,47,"253,691"
IN,Evansville,42,--,47,"117,429"
IN,South Bend,43,--,60,"101,168"
IN,Hammond,52,--,57,"80,830"
IN,Bloomington,43,28,57,"80,405"
IN,Gary,34,--,45,"80,294"
IN,Carmel,17,--,55,"79,191"
IN,Fishers,18,--,53,"76,794"
IN,Muncie,37,--,55,"70,085"
IN,Lafayette,36,32,45,"67,140"
IN,Terre Haute,37,19,52,"60,785"
IN,Anderson,31,--,43,"56,129"
IN,Noblesville,15,--,45,"51,969"
IN,Elkhart,37,--,49,"50,949"
IN,Greenwood,23,--,43,"49,791"
IN,Mishawaka,41,--,50,"48,252"
IN,Lawrence,24,10,40,"46,001"
IN,Kokomo,38,--,51,"45,468"
IN,Jeffersonville,23,--,37,"44,953"
IN,Columbus,25,--,49,"44,061"
IN,Portage,17,--,43,"36,828"
IN,Richmond,39,--,50,"36,812"
IN,New Albany,36,--,41,"36,372"
IN,Merrillville,24,--,42,"35,246"
IN,Valparaiso,40,--,47,"31,730"
IN,Goshen,31,--,51,"31,719"
IN,Michigan City,39,--,45,"31,479"
IN,Granger,8,--,32,"30,465"
IN,Westfield,15,--,52,"30,068"
IN,Marion,38,--,49,"29,948"
IN,East Chicago,59,--,57,"29,698"
IN,West Lafayette,49,45,62,"29,596"
IN,Schererville,21,--,42,"29,243"
IN,Hobart,23,--,42,"29,059"
IN,Plainfield,20,1,49,"27,631"
IN,Crown Point,28,--,42,"27,317"
IN,Highland,44,2,59,"23,727"
IN,Franklin,26,--,44,"23,712"
IN,Munster,36,--,54,"23,603"
IN,La Porte,41,--,52,"22,053"
IN,Clarksville,30,--,46,"21,724"
IN,Brownsburg,21,--,38,"21,285"
IN,Greenfield,30,--,44,"20,602"
IN,Shelbyville,37,--,46,"19,191"
IN,Vincennes,44,--,47,"18,423"
IN,Logansport,51,--,48,"18,396"
IN,New Castle,37,--,43,"18,114"
IN,Seymour,39,--,48,"17,503"
IN,Huntington,41,--,43,"17,391"
IN,Griffith,40,--,50,"16,893"
