State,City,Walk Score,Transit Score,Bike Score,Population
LA,New Orleans (the largest city in Louisiana),59,44,66,"343,829"
LA,Baton Rouge,41,--,47,"229,493"
LA,Shreveport,31,--,41,"199,311"
LA,Metairie,54,--,50,"138,481"
LA,Lafayette,42,--,49,"120,623"
LA,Lake Charles,37,--,47,"71,993"
LA,Kenner,45,--,47,"66,702"
LA,Bossier City,28,--,42,"61,315"
LA,Monroe,34,--,45,"48,815"
LA,Alexandria,33,--,45,"47,723"
LA,Houma,42,--,47,"33,727"
LA,Marrero,46,--,47,"33,141"
LA,New Iberia,42,--,52,"30,617"
LA,Laplace,23,--,39,"29,872"
LA,Slidell,37,--,47,"27,068"
LA,Prairieville,12,--,32,"26,895"
LA,Central,7,--,31,"26,864"
LA,Terrytown,52,--,47,"23,319"
LA,Ruston,24,--,34,"21,859"
LA,Sulphur,30,--,43,"20,410"
LA,Harvey,45,0,45,"20,348"
LA,Hammond,35,--,46,"20,019"
LA,Bayou Cane,38,--,47,"19,355"
LA,Shenandoah,22,--,35,"18,399"
LA,Natchitoches,33,--,43,"18,323"
LA,Gretna,64,--,56,"17,736"
LA,Chalmette,46,--,46,"16,751"
LA,Opelousas,46,--,53,"16,634"
