State,City,Walk Score,Transit Score,Bike Score,Population
MD,Baltimore (the largest city in Maryland),65,57,56,"620,961"
MD,Columbia,32,27,34,"99,615"
MD,Germantown,36,37,47,"86,395"
MD,Silver Spring,61,64,59,"71,452"
MD,Waldorf,17,--,35,"67,752"
MD,Glen Burnie,35,23,43,"67,639"
MD,Ellicott City,23,11,23,"65,834"
MD,Frederick,46,--,47,"65,239"
MD,Dundalk,49,34,46,"63,597"
MD,Rockville,54,53,58,"61,209"
MD,Bethesda,45,46,56,"60,858"
MD,Gaithersburg,49,41,52,"59,933"
MD,Towson,49,40,38,"55,197"
MD,Bowie,25,23,40,"54,727"
MD,Aspen Hill,27,42,40,"48,759"
MD,Wheaton,48,57,45,"48,284"
MD,Bel Air South,21,13,24,"47,709"
MD,Potomac,16,--,26,"44,965"
MD,Severn,17,17,32,"44,231"
MD,North Bethesda,49,54,55,"43,828"
MD,Catonsville,39,38,38,"41,567"
MD,Hagerstown,52,--,52,"39,662"
MD,Essex,39,35,41,"39,262"
MD,Annapolis,50,34,57,"38,394"
MD,Woodlawn,38,39,35,"37,879"
MD,Severna Park,18,11,32,"37,634"
MD,Odenton,25,--,39,"37,132"
MD,Clinton,14,5,24,"35,970"
MD,Olney,23,26,46,"33,844"
MD,Chillum,53,53,56,"33,513"
MD,Randallstown,23,23,29,"32,430"
MD,Montgomery Village,36,39,35,"32,032"
MD,Pikesville,34,29,31,"30,764"
MD,Parkville,57,39,44,"30,734"
MD,Owings Mills,35,23,26,"30,622"
MD,Bel Air North,17,--,27,"30,568"
MD,Eldersburg,13,--,18,"30,531"
MD,College Park,52,48,67,"30,413"
MD,Salisbury,45,--,46,"30,343"
MD,Carney,39,23,28,"29,941"
MD,Milford Mill,37,37,35,"29,042"
MD,Perry Hall,28,13,27,"28,474"
MD,Crofton,27,--,33,"27,348"
MD,South Laurel,28,26,32,"26,112"
MD,Reisterstown,37,22,33,"25,968"
MD,Suitland,35,43,32,"25,825"
MD,Edgewood,21,21,29,"25,562"
MD,Lochearn,28,39,30,"25,333"
MD,Middle River,35,26,39,"25,191"
MD,Laurel,53,34,41,"25,115"
MD,North Potomac,21,24,33,"24,410"
MD,Scaggsville,24,--,26,"24,333"
MD,Pasadena,24,--,33,"24,287"
MD,Fort Washington,14,22,21,"23,717"
MD,Fairland,22,38,43,"23,681"
MD,Ilchester,19,--,23,"23,476"
MD,Arnold,15,9,21,"23,106"
MD,Landover,48,41,32,"23,078"
MD,Greenbelt,42,39,49,"23,068"
MD,Cumberland,49,19,34,"20,859"
MD,Cockeysville,33,23,26,"20,776"
MD,Arbutus,43,37,35,"20,483"
MD,Lake Shore,15,--,28,"19,477"
MD,Rosedale,35,32,30,"19,257"
MD,Camp Springs,21,28,29,"19,096"
MD,Langley Park,66,57,53,"18,755"
MD,Westminster,40,9,35,"18,590"
MD,Ballenger Creek,25,--,40,"18,274"
MD,Calverton,27,34,38,"17,724"
MD,Oxon Hill,20,27,27,"17,722"
MD,Hyattsville,66,59,74,"17,557"
MD,White Oak,39,48,31,"17,403"
MD,Glassmanor,33,47,23,"17,295"
MD,Seabrook,30,30,42,"17,287"
MD,Redland,22,41,35,"17,242"
MD,Beltsville,39,29,43,"16,772"
MD,Ferndale,36,35,39,"16,746"
MD,Takoma Park,69,61,68,"16,715"
