State,City,Walk Score,Transit Score,Bike Score,Population
MI,Detroit (the largest city in Michigan),53,39,55,"713,777"
MI,Grand Rapids,57,40,53,"188,040"
MI,Warren,43,--,46,"134,056"
MI,Sterling Heights,32,--,40,"129,699"
MI,Lansing,43,34,59,"114,297"
MI,Ann Arbor,50,48,69,"113,934"
MI,Flint,43,31,49,"102,434"
MI,Dearborn,59,--,50,"98,153"
MI,Livonia,34,--,48,"96,942"
MI,Westland,36,--,48,"84,094"
MI,Troy,27,--,43,"80,980"
MI,Farmington Hills,23,--,39,"79,740"
MI,Kalamazoo,48,--,52,"74,262"
MI,Wyoming,37,--,44,"72,125"
MI,Southfield,35,--,42,"71,739"
MI,Rochester Hills,18,--,35,"70,995"
MI,Taylor,32,--,41,"63,131"
MI,St. Clair Shores,41,--,45,"59,715"
MI,Pontiac,41,--,46,"59,515"
MI,Dearborn Heights,45,--,51,"57,774"
MI,Royal Oak,52,--,54,"57,236"
MI,Novi,17,--,46,"55,224"
MI,Battle Creek,37,--,42,"52,347"
MI,Saginaw,39,--,48,"51,508"
MI,Kentwood,24,--,43,"48,707"
MI,East Lansing,53,--,77,"48,579"
MI,Roseville,43,--,47,"47,299"
MI,Portage,18,--,47,"46,292"
MI,Midland,30,--,50,"41,863"
MI,Muskegon,44,--,52,"38,401"
MI,Lincoln Park,60,--,52,"38,144"
MI,Bay City,51,--,59,"34,932"
MI,Jackson,46,--,60,"33,534"
MI,Holland,43,--,61,"33,051"
MI,Eastpointe,56,--,49,"32,442"
MI,Port Huron,45,--,49,"30,184"
MI,Southgate,49,--,47,"30,047"
MI,Burton,22,--,37,"29,999"
MI,Madison Heights,55,--,50,"29,694"
MI,Oak Park,43,--,46,"29,319"
MI,Allen Park,49,--,46,"28,210"
MI,Garden City,43,--,47,"27,692"
MI,Mount Pleasant,52,--,58,"26,016"
MI,Wyandotte,60,--,51,"25,883"
MI,Forest Hills,8,--,26,"25,867"
MI,Inkster,29,--,41,"25,369"
MI,Norton Shores,13,--,35,"23,994"
MI,Romulus,15,--,36,"23,989"
MI,Holt,17,--,44,"23,973"
MI,Waverly,27,--,46,"23,925"
MI,Walker,18,--,36,"23,537"
MI,Hamtramck,82,--,56,"22,423"
MI,Auburn Hills,27,--,46,"21,412"
MI,Okemos,21,--,41,"21,369"
MI,Marquette,46,--,60,"21,355"
MI,Adrian,49,--,54,"21,133"
MI,Monroe,46,--,49,"20,733"
MI,Birmingham,59,--,49,"20,103"
MI,Ferndale,63,13,68,"19,900"
MI,Ypsilanti,59,43,67,"19,435"
MI,Haslett,18,--,43,"19,220"
MI,Trenton,38,--,43,"18,853"
MI,Wayne,42,--,45,"17,593"
MI,Allendale,20,--,36,"17,579"
MI,Jenison,19,--,40,"16,538"
