State,City,Walk Score,Transit Score,Bike Score,Population
SC,Columbia (the largest city in South Carolina),38,0,38,"129,272"
SC,Charleston,40,23,52,"120,083"
SC,North Charleston,27,--,41,"97,471"
SC,Mount Pleasant,20,--,39,"67,843"
SC,Rock Hill,29,--,33,"66,154"
SC,Greenville,43,19,41,"58,409"
SC,Summerville,19,--,38,"43,392"
SC,Sumter,26,--,42,"40,524"
SC,Hilton Head Island,12,--,48,"37,099"
SC,Florence,29,--,43,"37,056"
SC,Spartanburg,31,--,36,"37,013"
SC,Goose Creek,16,--,37,"35,938"
SC,Aiken,23,--,32,"29,524"
SC,Myrtle Beach,43,--,55,"27,109"
SC,Anderson,33,--,34,"26,686"
SC,Greer,26,--,24,"25,515"
SC,Greenwood,32,--,40,"23,222"
SC,Mauldin,19,--,25,"22,889"
SC,Taylors,12,--,19,"21,617"
SC,North Augusta,22,--,34,"21,348"
SC,Wade Hampton,31,--,29,"20,622"
SC,St. Andrews,27,--,34,"20,493"
SC,Easley,24,--,29,"19,993"
SC,Socastee,21,--,35,"19,952"
SC,Simpsonville,22,--,26,"18,238"
SC,Hanahan,20,--,37,"17,997"
SC,Lexington,23,--,26,"17,870"
SC,Conway,28,--,42,"17,103"
