State,City,Walk Score,Transit Score,Bike Score,Population
TX,Houston (the largest city in Texas),48,37,51,"2,099,451"
TX,San Antonio,35,36,45,"1,327,407"
TX,Dallas,46,40,51,"1,197,816"
TX,Austin,41,34,54,"790,390"
TX,Fort Worth,35,21,41,"741,206"
TX,El Paso,41,31,42,"649,121"
TX,Arlington,38,0,41,"365,438"
TX,Corpus Christi,41,30,49,"305,215"
TX,Plano,39,17,55,"259,841"
TX,Laredo,41,--,45,"236,091"
TX,Lubbock,38,22,49,"229,573"
TX,Garland,40,29,45,"226,876"
TX,Irving,44,31,46,"216,290"
TX,Amarillo,40,--,46,"190,695"
TX,Grand Prairie,32,--,37,"175,396"
TX,Brownsville,39,--,46,"175,023"
TX,Pasadena,43,--,48,"149,043"
TX,Mesquite,35,--,42,"139,824"
TX,McKinney,27,--,43,"131,117"
TX,McAllen,42,--,48,"129,877"
TX,Killeen,33,--,38,"127,921"
TX,Waco,36,--,43,"124,805"
TX,Carrollton,35,22,40,"119,097"
TX,Beaumont,33,--,43,"118,296"
TX,Abilene,30,--,41,"117,063"
TX,Frisco,24,--,40,"116,989"
TX,Denton,33,--,46,"113,383"
TX,Midland,42,--,45,"111,147"
TX,Wichita Falls,29,--,44,"104,553"
TX,Odessa,40,--,45,"99,940"
TX,Round Rock,24,--,36,"99,887"
TX,Richardson,43,34,53,"99,223"
TX,Tyler,36,--,39,"96,900"
TX,Lewisville,38,--,41,"95,290"
TX,College Station,33,--,62,"93,857"
TX,The Woodlands,18,--,47,"93,847"
TX,San Angelo,32,--,42,"93,200"
TX,Pearland,20,--,38,"91,252"
TX,Allen,34,--,59,"84,246"
TX,League City,22,--,36,"83,560"
TX,Longview,29,--,39,"80,455"
TX,Sugar Land,27,--,39,"78,817"
TX,Edinburg,28,--,39,"77,100"
TX,Mission,33,--,40,"77,058"
TX,Bryan,33,--,46,"76,201"
TX,Baytown,32,--,42,"71,802"
TX,Pharr,37,--,43,"70,400"
TX,Missouri City,25,--,36,"67,358"
TX,Temple,31,--,38,"66,102"
TX,Atascocita,25,--,36,"65,844"
TX,Harlingen,36,--,46,"64,849"
TX,Flower Mound,26,--,34,"64,669"
TX,North Richland Hills,33,--,44,"63,343"
TX,Victoria,35,--,43,"62,592"
TX,New Braunfels,25,--,34,"57,740"
TX,Mansfield,25,--,36,"56,368"
TX,Conroe,26,--,39,"56,207"
TX,Rowlett,18,13,33,"56,199"
TX,Spring,20,--,37,"54,298"
TX,Port Arthur,35,--,45,"53,818"
TX,Euless,37,--,38,"51,277"
TX,DeSoto,24,--,32,"49,047"
TX,Cedar Park,23,--,41,"48,937"
TX,Galveston,54,--,57,"47,743"
TX,Georgetown,22,--,35,"47,400"
TX,Bedford,43,--,43,"46,979"
TX,Pflugerville,22,--,39,"46,936"
TX,Grapevine,29,--,39,"46,334"
TX,Texas City,35,--,45,"45,099"
TX,Cedar Hill,19,--,31,"45,028"
TX,San Marcos,39,--,43,"44,894"
TX,Haltom City,38,--,40,"42,409"
TX,Wylie,18,--,34,"41,427"
TX,Keller,23,--,36,"39,627"
TX,Coppell,28,--,37,"38,659"
TX,Huntsville,33,--,35,"38,548"
TX,Duncanville,44,12,44,"38,524"
TX,Sherman,30,--,38,"38,521"
TX,Channelview,23,--,37,"38,289"
TX,Rockwall,25,--,30,"37,490"
TX,Hurst,47,--,44,"37,337"
TX,Burleson,27,--,38,"36,690"
TX,Mission Bend,26,13,36,"36,501"
TX,Texarkana,29,--,42,"36,411"
TX,Lancaster,22,--,37,"36,361"
TX,The Colony,27,--,40,"36,328"
TX,Friendswood,22,--,36,"35,805"
TX,Weslaco,35,--,41,"35,670"
TX,Del Rio,35,--,44,"35,591"
TX,Lufkin,26,--,41,"35,067"
TX,San Juan,33,--,40,"33,856"
TX,La Porte,25,--,39,"33,800"
TX,Nacogdoches,28,--,37,"32,996"
TX,Copperas Cove,26,--,30,"32,032"
TX,Socorro,23,--,37,"32,013"
TX,Deer Park,32,--,41,"32,010"
TX,Schertz,21,--,32,"31,465"
TX,Rosenberg,35,--,41,"30,618"
TX,Waxahachie,25,--,38,"29,621"
TX,Fort Hood,19,--,38,"29,589"
TX,Cleburne,26,--,39,"29,337"
TX,Farmers Branch,43,30,53,"28,616"
TX,Kyle,15,--,30,"28,016"
TX,Big Spring,24,--,38,"27,282"
TX,Lake Jackson,23,--,40,"26,849"
TX,Harker Heights,31,--,36,"26,700"
