,State,City,Walk Score,Transit Score,Bike Score,Population
0,AK,Anchorage,28,21,52,"291,826"
1,AK,Fairbanks,33,24,57,"31,535"
2,AK,Juneau,22,18,35,"31,275"
3,AK,Badger,2,--,35,"19,482"
4,AL,Birmingham (the largest city in Alabama),35,25,31,"212,237"
5,AL,Montgomery,26,16,38,"205,764"
6,AL,Mobile,32,--,39,"195,111"
7,AL,Huntsville,24,13,40,"180,105"
8,AL,Tuscaloosa,33,--,37,"90,468"
9,AL,Hoover,17,--,12,"81,619"
10,AL,Dothan,23,--,35,"65,496"
11,AL,Decatur,25,--,40,"55,683"
12,AL,Auburn,27,--,38,"53,380"
13,AL,Madison,17,--,34,"42,938"
14,AL,Florence,32,--,36,"39,319"
15,AL,Gadsden,25,--,33,"36,856"
16,AL,Vestavia Hills,22,--,15,"34,033"
17,AL,Prattville,17,--,28,"33,960"
18,AL,Phenix City,23,--,24,"32,822"
19,AL,Alabaster,9,--,20,"30,352"
20,AL,Bessemer,26,--,31,"27,456"
21,AL,Enterprise,19,--,28,"26,562"
22,AL,Opelika,17,--,29,"26,477"
23,AL,Homewood,41,22,27,"25,167"
24,AL,Northport,26,--,30,"23,330"
25,AL,Anniston,23,--,26,"23,106"
26,AL,Prichard,25,--,39,"22,659"
27,AL,Athens,21,--,37,"21,897"
28,AL,Daphne,16,--,32,"21,570"
29,AL,Pelham,13,--,16,"21,352"
30,AL,Oxford,10,--,23,"21,348"
31,AL,Albertville,21,--,34,"21,160"
32,AL,Selma,33,--,48,"20,756"
33,AL,Mountain Brook,22,--,16,"20,413"
34,AL,Trussville,10,--,12,"19,933"
35,AL,Troy,21,--,24,"18,033"
36,AL,Tillmans Corner,13,--,31,"17,398"
37,AL,Center Point,24,--,19,"16,921"
38,AL,Helena,12,--,18,"16,793"
39,AR,Little Rock (the largest city in Arkansas),32,19,32,"193,524"
40,AR,Fort Smith,35,--,38,"86,209"
41,AR,Fayetteville,32,--,50,"73,580"
42,AR,Springdale,26,--,39,"69,797"
43,AR,Jonesboro,21,--,34,"67,263"
44,AR,North Little Rock,30,19,34,"62,304"
45,AR,Conway,25,--,37,"58,908"
46,AR,Rogers,20,--,43,"55,964"
47,AR,Pine Bluff,28,--,39,"49,083"
48,AR,Bentonville,25,--,41,"35,301"
49,AR,Hot Springs,31,--,27,"35,193"
50,AR,Benton,18,--,27,"30,681"
51,AR,Texarkana,25,--,40,"29,919"
52,AR,Sherwood,20,7,29,"29,523"
53,AR,Jacksonville,23,3,37,"28,364"
54,AR,Russellville,27,--,38,"27,920"
55,AR,Bella Vista,3,--,9,"26,461"
56,AR,West Memphis,33,--,43,"26,245"
57,AR,Paragould,22,--,35,"26,113"
58,AR,Cabot,17,--,31,"23,776"
59,AR,Searcy,39,--,45,"22,858"
60,AR,Van Buren,23,--,27,"22,791"
61,AR,El Dorado,31,--,38,"18,884"
62,AR,Maumelle,15,--,44,"17,163"
63,AR,Bryant,16,--,31,"16,688"
64,AZ,Phoenix (the largest city in Arizona),41,36,56,"1,445,632"
65,AZ,Tucson,42,35,67,"520,116"
66,AZ,Mesa,37,27,61,"439,041"
67,AZ,Chandler,35,24,57,"236,123"
68,AZ,Glendale,40,34,59,"226,721"
69,AZ,Scottsdale,31,26,56,"217,385"
70,AZ,Gilbert,28,15,54,"208,453"
71,AZ,Tempe,53,47,74,"161,719"
72,AZ,Peoria,29,14,47,"154,065"
73,AZ,Surprise,21,--,47,"117,517"
74,AZ,Yuma,31,19,55,"93,064"
75,AZ,San Tan Valley,13,--,35,"81,321"
76,AZ,Avondale,28,--,52,"76,238"
77,AZ,Casas Adobes,24,--,46,"66,795"
78,AZ,Flagstaff,38,35,65,"65,870"
79,AZ,Goodyear,18,--,42,"65,275"
80,AZ,Lake Havasu City,15,--,29,"52,527"
81,AZ,Buckeye,13,--,33,"50,876"
82,AZ,Catalina Foothills,13,--,30,"50,796"
83,AZ,Casa Grande,26,--,45,"48,571"
84,AZ,Sierra Vista,25,--,53,"43,888"
85,AZ,Maricopa,14,--,39,"43,482"
86,AZ,Oro Valley,12,--,41,"41,011"
87,AZ,Prescott,25,--,27,"39,843"
88,AZ,Bullhead City,23,--,32,"39,540"
89,AZ,Prescott Valley,17,--,36,"38,822"
90,AZ,Sun City,25,--,43,"37,499"
91,AZ,Apache Junction,18,--,42,"35,840"
92,AZ,Marana,12,--,38,"34,961"
93,AZ,El Mirage,27,--,43,"31,797"
94,AZ,Kingman,24,--,36,"28,068"
95,AZ,Drexel Heights,15,--,32,"27,749"
96,AZ,Queen Creek,16,--,44,"26,361"
97,AZ,Fortuna Foothills,13,--,36,"26,265"
98,AZ,Florence,19,--,39,"25,536"
99,AZ,San Luis,27,--,43,"25,505"
100,AZ,Sahuarita,9,--,31,"25,259"
101,AZ,Sun City West,11,--,40,"24,535"
102,AZ,Fountain Hills,19,--,26,"22,489"
103,AZ,Anthem,18,--,42,"21,700"
104,AZ,Green Valley,12,--,31,"21,391"
105,AZ,Nogales,34,--,27,"20,837"
106,AZ,Rio Rico,6,--,17,"18,962"
107,AZ,Douglas,41,--,49,"17,378"
108,AZ,Tanque Verde,4,--,29,"16,901"
109,AZ,Eloy,14,--,35,"16,631"
110,CA,Los Angeles (the largest city in California),68,53,59,"3,792,621"
111,CA,San Diego,51,37,43,"1,307,402"
112,CA,San Jose,49,41,62,"945,942"
113,CA,San Francisco,87,80,72,"805,235"
114,CA,Fresno,45,32,59,"494,665"
115,CA,Sacramento,45,34,68,"466,488"
116,CA,Long Beach,72,52,69,"462,257"
117,CA,Oakland,74,56,65,"390,724"
118,CA,Bakersfield,34,27,44,"347,483"
119,CA,Anaheim,55,37,52,"336,265"
120,CA,Santa Ana,66,45,61,"324,528"
121,CA,Riverside,42,33,49,"303,871"
122,CA,Stockton,43,28,57,"291,707"
123,CA,Chula Vista,43,36,41,"243,916"
124,CA,Fremont,48,36,54,"214,089"
125,CA,Irvine,43,27,69,"212,375"
126,CA,San Bernardino,43,35,44,"209,924"
127,CA,Modesto,45,30,50,"201,165"
128,CA,Oxnard,55,32,52,"197,899"
129,CA,Fontana,36,29,41,"196,069"
130,CA,Moreno Valley,32,29,37,"193,365"
131,CA,Glendale,71,45,52,"191,719"
132,CA,Huntington Beach,55,32,71,"189,992"
133,CA,Santa Clarita,35,--,33,"176,320"
134,CA,Garden Grove,61,39,58,"170,883"
135,CA,Santa Rosa,44,27,51,"167,815"
136,CA,Oceanside,36,33,33,"167,086"
137,CA,Rancho Cucamonga,40,25,46,"165,269"
138,CA,Ontario,46,26,47,"163,924"
139,CA,Lancaster,29,--,42,"156,633"
140,CA,Elk Grove,32,--,46,"153,015"
141,CA,Palmdale,24,--,35,"152,750"
142,CA,Corona,38,18,35,"152,374"
143,CA,Salinas,47,33,51,"150,441"
144,CA,Pomona,52,35,48,"149,058"
145,CA,Torrance,67,39,55,"145,438"
146,CA,Hayward,55,40,54,"144,186"
147,CA,Escondido,44,31,40,"143,911"
148,CA,Sunnyvale,59,41,76,"140,081"
149,CA,Pasadena,69,51,70,"137,122"
150,CA,Orange,51,34,55,"136,416"
151,CA,Fullerton,53,34,48,"135,161"
152,CA,Thousand Oaks,32,17,27,"126,683"
153,CA,East Los Angeles,75,56,50,"126,496"
154,CA,Visalia,35,--,49,"124,442"
155,CA,Simi Valley,36,21,47,"124,237"
156,CA,Concord,46,30,53,"122,067"
157,CA,Roseville,36,20,61,"118,788"
158,CA,Santa Clara,58,41,74,"116,468"
159,CA,Vallejo,40,31,36,"115,942"
160,CA,Victorville,19,23,34,"115,903"
161,CA,El Monte,62,46,58,"113,475"
162,CA,Berkeley,83,59,82,"112,580"
163,CA,Downey,60,--,54,"111,772"
164,CA,Costa Mesa,64,39,66,"109,960"
165,CA,Inglewood,72,49,55,"109,673"
166,CA,San Buenaventura (Ventura),46,--,57,"106,433"
167,CA,West Covina,44,--,37,"106,098"
168,CA,Norwalk,60,43,53,"105,549"
169,CA,Carlsbad,30,23,29,"105,328"
170,CA,Fairfield,32,25,42,"105,321"
171,CA,Richmond,57,43,53,"103,701"
172,CA,Murrieta,27,20,24,"103,466"
173,CA,Burbank,70,39,62,"103,340"
174,CA,Antioch,36,--,42,"102,372"
175,CA,Daly City,61,52,35,"101,123"
176,CA,Temecula,29,16,29,"100,097"
177,CA,Santa Maria,47,--,55,"99,553"
178,CA,El Cajon,57,38,47,"99,478"
179,CA,Rialto,39,30,45,"99,171"
180,CA,San Mateo,65,40,65,"97,207"
181,CA,Compton,65,--,61,"96,455"
182,CA,Clovis,36,--,51,"95,631"
183,CA,South Gate,70,--,56,"94,396"
184,CA,Vista,44,34,31,"93,834"
185,CA,Mission Viejo,35,--,37,"93,305"
186,CA,Vacaville,33,24,46,"92,428"
187,CA,Arden-Arcade,50,32,65,"92,186"
188,CA,Carson,55,--,51,"91,714"
189,CA,Hesperia,15,--,32,"90,173"
190,CA,Redding,26,18,42,"89,861"
191,CA,Santa Monica,82,62,86,"89,736"
